date,h0,h1,h2,h3,h4,h5
2023-04-11,5.9799073e-25,1.0,2.8067848e-07,7.785096e-07,6.3302656e-07,0.9999784
2022-07-16,1.9993802e-29,5.517593e-10,4.4845746e-17,4.2554935e-13,2.3448881e-15,1.8332226e-11
2020-06-29,4.1857094e-20,4.0710877e-14,6.2643016e-12,2.7691352e-16,0.00023180044,0.049338195
2024-12-05,1.0,0.99781907,2.6333422e-05,0.98987037,1.0,0.9999975
2021-04-03,3.5603977e-27,0.99940157,4.946553e-13,4.0077906e-05,4.4977287e-06,0.99999535
2020-03-13,4.129531e-14,0.99916077,7.677915e-06,0.94669193,0.9999995,1.0
2020-02-25,6.594769e-07,0.99402964,3.5604873e-05,1.0,0.9999999,0.9999994
2023-09-20,7.5876933e-22,1.1060758e-05,6.3809385e-19,5.2109606e-12,8.3955426e-11,5.426962e-15
2024-07-09,5.6451876e-32,1.6152225e-12,9.744507e-21,2.917879e-17,1.2241792e-11,0.000112730384
2020-05-26,2.0530355e-13,3.108083e-08,0.9999342,6.896162e-07,0.9999583,1.0
2024-04-16,0.038653433,0.99973446,0.99999905,0.14582174,1.0,1.0
2024-10-11,7.934318e-30,1.4311675e-10,7.765548e-24,1.0766106e-12,1.4280311e-11,1.8133575e-12
2024-06-17,6.56002e-21,6.654633e-15,9.55088e-16,9.5152315e-18,0.022955628,1.0
2022-09-06,1.4973734e-24,1.1664668e-13,3.3863537e-14,1.03354564e-11,2.8989409e-13,1.5265517e-12
2023-01-08,7.071067e-10,1.10512296e-07,3.4400705e-09,1.0,1.0,1.0
2022-08-10,1.0664467e-20,6.166124e-08,3.5291422e-15,3.5206715e-15,2.9961034e-12,4.0859963e-12
2022-09-05,1.3301419e-23,1.2424377e-15,2.4494333e-19,2.7287232e-15,1.071548e-09,2.7880955e-14
2021-03-24,2.5266997e-23,1.0,2.3040617e-10,0.00028310466,1.3145524e-05,0.99999976
2020-05-31,1.8840499e-21,2.3962943e-09,2.9284158e-05,1.6211911e-13,3.235936e-07,1.0
2022-09-30,9.421547e-24,4.561511e-16,4.162701e-27,3.6359147e-12,4.1510233e-05,4.5998864e-11
2023-03-14,4.6042572e-15,0.9714543,0.029883597,1.0,0.9997693,0.9999995
2023-08-10,6.3707914e-28,2.3619976e-13,7.4357454e-21,2.3137537e-11,2.936327e-12,2.2709724e-14
2022-06-03,9.387876e-13,2.4955305e-11,0.9997328,1.8345013e-09,0.98438156,1.0
2022-09-20,1.1308632e-24,1.3720298e-16,2.8991496e-25,1.0544187e-12,6.5159554e-08,1.5074789e-11
